	Query	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_SPAligner	End_SPAligner	Path_SPAligner	BandageVSSPAligner	ResultsBandageVSSPAligner	FinalResultBandageVSSPAligner
21	gb|AF294653|+|753-1584|ARO:3001425|OXA-31	(41) 1736030- (871)	41	871	1736030	42	816	831	Different	Different	Different
22	gb|AF300985|+|0-739|ARO:3001430|OXA-36	(104) 32571183-, 5674312+ (101) , (104) 32571183-, 24348369+ (101)	104, 104	101, 101	32571183, 5674312,32571183, 24348369	105	740	738	Different	Different	Different
23	gb|AF313472|+|15593-16397|ARO:3002639|APH(3'')-Ib	(39) 595376- (842)	39	842	595376	40	787	804	Different	Different	Different
24	gb|AF315351|+|672-1500|ARO:3001426|OXA-32	(71) 32571183-, 5674312+ (158) , (71) 32571183-, 24348369+ (158)	71, 71	158, 158	32571183, 5674312,32571183, 24348369	72	740	828	Different	Different	Different
25	gb|AF315786|+|1313-2114|ARO:3001429|OXA-35	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	2	626	801	Different	Different	Different
26	gb|AF326355|+|0-864|ARO:3002331|GES-2	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	94	901	864	Different	Different	Different
27	gb|AF329699|+|372-1236|ARO:3002337|GES-8	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	94	901	864	Different	Different	Different
28	gb|AF350424|+|0-771|ARO:3001428|OXA-34	(71) 32571183-, 5674312+ (101) , (71) 32571183-, 24348369+ (101)	71, 71	101, 101	32571183, 5674312,32571183, 24348369	72	740	771	Different	Different	Different
29	gb|AF371964|+|118-919|ARO:3001768|OXA-118	(19) 2556907-, 1160229-, 26511913- (71) , (19) 2556907-, 1160229-, 25425969- (71) , (222) 83520186+, 1160229-, 26511913- (71) , (222) 83520186+, 1160229-, 25425969- (71)	19, 19, 222, 222	71, 71, 71, 71	2556907, 1160229, 26511913,2556907, 1160229, 25425969,83520186, 1160229, 26511913,83520186, 1160229, 25425969	20	579	801	Different	Different	Different
30	gb|AF408195.1|+|9446-10250|ARO:3003206|lsaE	(34) 5670118- (837)	34	837	5670118	35	782	804	Different	Different	Different
31	gb|AF550679.1|-|80976-81768|ARO:3002601|aadA	(11) 31689609+, 31674241+, 385047+ (435) , (920) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (13) 5638634-, 31689607+, 31674241+, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (920) 31770840-, 66940499-, 81873962+, 31582859- (287) , (920) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (13) 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287)	11, 920, 13, 13, 920, 920, 13, 13	435, 435, 435, 435, 287, 287, 287, 287	31689609, 31674241, 385047,31770840, 66940499, 66940495, 3661600, 385047,5638634, 31689607, 31674241, 385047,5638634, 23556688, 66940499, 66940495, 3661600, 385047,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 8153423, 31582859,5638634, 23556688, 66940499, 81873962, 31582859,5638634, 23556688, 66940499, 66940495, 8153423, 31582859	12	380	792	Different	Different	Different
32	gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	(39) 288518-, 23815819-, 336894- (107) , (39) 288518-, 6570599+ (158) , (39) 288518-, 23815819-, 25312831- (98)	39, 39, 39	107, 158, 98	288518, 23815819, 336894,288518, 6570599,288518, 23815819, 25312831	40	1800	1920	Different	Different	Different
33	gb|AJ627643.4|+|4933-5713|ARO:3002653|APH(3')-VIb	(180) 6903442+, 86408359- (241) , (180) 6903442+, 506744- (243)	180, 180	241, 243	6903442, 86408359,6903442, 506744	181	716	780	Different	Different	Different
34	gb|AJ809407|+|118-898|ARO:3002620|aadA23	(31) 31689609+, 31674241+, 385047+ (435) , (132) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (435) , (98) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (435) , (25) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (932) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (25) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (932) 31770840-, 66940499-, 81873962+, 31582859- (287) , (932) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (98) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (132) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (67) 3906318- (772) , (81) 26862905- (799)	31, 132, 98, 25, 932, 25, 932, 932, 98, 132, 67, 81	435, 435, 435, 435, 435, 287, 287, 287, 287, 287, 772, 799	31689609, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,24798140, 5638634, 31689607, 31674241, 385047,5638634, 23556688, 66940499, 66940495, 3661600, 385047,31770840, 66940499, 66940495, 3661600, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 8153423, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,3906318,26862905	2	380	780	Different	Different	Different
35	gb|AJ854182|+|0-801|ARO:3001798|OXA-74	(72) 32592252-, 26012357-, 758212-, 74766869-, 32267955- (52) , (23) 31339125-, 26012357-, 758212-, 74766869-, 32267955- (52) , (72) 32592252-, 26012357-, 758212-, 74766869-, 27276706- (52) , (23) 31339125-, 26012357-, 758212-, 74766869-, 27276706- (52) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55) , (72) 32592258-, 758212-, 74766869-, 27276706- (52) , (72) 32592258-, 758212-, 74766869-, 32267955- (52) , (72) 32592258-, 758212-, 32575361- (55)	72, 23, 72, 23, 72, 23, 72, 72, 72	52, 52, 52, 52, 55, 55, 52, 52, 55	32592252, 26012357, 758212, 74766869, 32267955,31339125, 26012357, 758212, 74766869, 32267955,32592252, 26012357, 758212, 74766869, 27276706,31339125, 26012357, 758212, 74766869, 27276706,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 32575361,32592258, 758212, 74766869, 27276706,32592258, 758212, 74766869, 32267955,32592258, 758212, 32575361	2	626	801	Different	Different	Different
36	gb|AM040708.1|+|1173-1965|ARO:3004704|aadA8b	(13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (86) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (435) , (120) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (435) , (920) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (11) 31689609+, 31674241+, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (86) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (120) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (920) 31770840-, 66940499-, 81873962+, 31582859- (287) , (920) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (81) 26862905- (799)	13, 86, 120, 920, 11, 13, 86, 120, 920, 920, 81	435, 435, 435, 435, 435, 287, 287, 287, 287, 287, 799	5638634, 23556688, 66940499, 66940495, 3661600, 385047,24798140, 5638634, 31689607, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,31770840, 66940499, 66940495, 3661600, 385047,31689609, 31674241, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 8153423, 31582859,26862905	2	380	792	Different	Different	Different
37	gb|AM087405|+|1748-2582|ARO:3002622|aadA6/aadA10	(11) 3906318-, 49630744+ (78) , (11) 3906318-, 5643127+ (78) , (72) 26862905- (865)	11, 11, 72	78, 78, 865	3906318, 49630744,3906318, 5643127,26862905	12	738	834	Different	Different	Different
38	gb|AM261837|+|73-865|ARO:3002619|aadA22	(86) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (435) , (120) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (435) , (11) 31689609+, 31674241+, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (932) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (932) 31770840-, 66940499-, 81873962+, 31582859- (287) , (932) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (120) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (86) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (81) 26862905- (799)	86, 120, 11, 13, 932, 13, 932, 932, 120, 86, 81	435, 435, 435, 435, 435, 287, 287, 287, 287, 287, 799	24798140, 5638634, 31689607, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,31689609, 31674241, 385047,5638634, 23556688, 66940499, 66940495, 3661600, 385047,31770840, 66940499, 66940495, 3661600, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 8153423, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,26862905	2	380	792	Different	Different	Different
39	gb|AM412317.1|-|3035492-3036527|ARO:3004146|cfrC	(2308) 24062600- (3333)	2308	3333	24062600	2309	3284	1035	Different	Different	Different
40	gb|AM412777|+|117-918|ARO:3001439|OXA-101	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	2	626	801	Different	Different	Different
41	gb|AP009048|-|4338624-4340268|ARO:3003576|eptA	(758) 25658009+ (2401)	758	2401	25658009	759	2346	1644	Different	Different	Different
42	gb|AP012030.1|-|395553-396711|ARO:3004612|Escherichia_coli_ampH	(1084) 1160795+ (2241)	1084	2241	1160795	1085	2186	1158	Different	Different	Different
43	gb|APOH01000009.1|-|220588-221443|ARO:3001751|OXA-296	(69) 31762653-, 2880953- (626) , (69) 269907+, 2880953- (626)	69, 69	626, 626	31762653, 2880953,269907, 2880953	2	571	855	Different	Different	Different
44	gb|AY007784|+|1122-1923|ARO:3001431|OXA-37	(73) 26714083+ (873)	73	873	26714083	74	818	801	Different	Different	Different
45	gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	(96) 23703864-, 9429764+ (453)	96	453	23703864, 9429764	97	398	816	Different	Different	Different
46	gb|AY138986|+|0-789|ARO:3002604|aadA4	(57) 1370533+, 83520186+ (53) , (57) 1370533+, 31391622- (53)	57, 57	53, 53	1370533, 83520186,1370533, 31391622	58	790	789	Different	Different	Different
47	gb|AY139598|+|1486-2287|ARO:3001775|OXA-119	(19) 2556907-, 1160229-, 26511913- (71) , (19) 2556907-, 1160229-, 25425969- (71) , (222) 83520186+, 1160229-, 26511913- (71) , (222) 83520186+, 1160229-, 25425969- (71)	19, 19, 222, 222	71, 71, 71, 71	2556907, 1160229, 26511913,2556907, 1160229, 25425969,83520186, 1160229, 26511913,83520186, 1160229, 25425969	20	574	801	Different	Different	Different
48	gb|AY139603|+|106-898|ARO:3002608|aadA8	(13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (86) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (435) , (120) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (435) , (932) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (11) 31689609+, 31674241+, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (86) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (120) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (932) 31770840-, 66940499-, 81873962+, 31582859- (287) , (932) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (81) 26862905- (799)	13, 86, 120, 932, 11, 13, 86, 120, 932, 932, 81	435, 435, 435, 435, 435, 287, 287, 287, 287, 287, 799	5638634, 23556688, 66940499, 66940495, 3661600, 385047,24798140, 5638634, 31689607, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,31770840, 66940499, 66940495, 3661600, 385047,31689609, 31674241, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 8153423, 31582859,26862905	2	380	792	Different	Different	Different
49	gb|AY171244|+|46-838|ARO:3002618|aadA21	(86) 24798140+, 5638634-, 31689607+, 31674241+, 385047+ (435) , (120) 25425969-, 5638634-, 31689607+, 31674241+, 385047+ (435) , (11) 31689609+, 31674241+, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (932) 31770840-, 66940499-, 66940495+, 3661600-, 385047+ (435) , (13) 5638634-, 23556688-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (932) 31770840-, 66940499-, 81873962+, 31582859- (287) , (932) 31770840-, 66940499-, 66940495+, 8153423-, 31582859- (287) , (120) 25425969-, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (86) 24798140+, 5638634-, 23556688-, 66940499-, 81873962+, 31582859- (287) , (81) 26862905- (799)	86, 120, 11, 13, 932, 13, 932, 932, 120, 86, 81	435, 435, 435, 435, 435, 287, 287, 287, 287, 287, 799	24798140, 5638634, 31689607, 31674241, 385047,25425969, 5638634, 31689607, 31674241, 385047,31689609, 31674241, 385047,5638634, 23556688, 66940499, 66940495, 3661600, 385047,31770840, 66940499, 66940495, 3661600, 385047,5638634, 23556688, 66940499, 66940495, 8153423, 31582859,31770840, 66940499, 81873962, 31582859,31770840, 66940499, 66940495, 8153423, 31582859,25425969, 5638634, 23556688, 66940499, 81873962, 31582859,24798140, 5638634, 23556688, 66940499, 81873962, 31582859,26862905	2	380	792	Different	Different	Different
50	gb|AY178993|+|574-1471|ARO:3002247|CARB-8	(146) 267426-, 5625755+ (82) , (146) 267426-, 63777837- (82)	146, 146	82, 82	267426, 5625755,267426, 63777837	147	960	897	Different	Different	Different
51	gb|AY260546|+|4477-5341|ARO:3002336|GES-7	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	94	901	864	Different	Different	Different
52	gb|AY445080|+|0-801|ARO:3001795|OXA-56	(72) 32592258-, 758212-, 74766869- (55) , (72) 32592258-, 758212-, 32575361- (55) , (72) 32592252-, 26012357-, 758212-, 74766869- (55) , (72) 32592252-, 26012357-, 758212-, 32575361- (55) , (23) 31339125-, 26012357-, 758212-, 74766869- (55) , (23) 31339125-, 26012357-, 758212-, 32575361- (55)	72, 72, 72, 72, 23, 23	55, 55, 55, 55, 55, 55	32592258, 758212, 74766869,32592258, 758212, 32575361,32592252, 26012357, 758212, 74766869,32592252, 26012357, 758212, 32575361,31339125, 26012357, 758212, 74766869,31339125, 26012357, 758212, 32575361	2	626	801	Different	Different	Different
53	gb|AY494717|+|0-864|ARO:3002334|GES-5	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	94	901	864	Different	Different	Different
54	gb|AY494718|+|0-864|ARO:3002335|GES-6	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	94	901	864	Different	Different	Different
55	gb|AY536519|+|37-937|ARO:3002372|VEB-3	(87) 8677873- (986)	87	986	8677873	88	931	900	Different	Different	Different
56	gb|AY628199|+|203-1064|ARO:3000988|TEM-126	(224) 32381806+ (1084)	224	1084	32381806	225	1029	861	Different	Different	Different
57	gb|AY758206|+|2743-3589|ARO:3002611|aadA11	(11) 3906318-, 5643127+ (118) , (11) 3906318-, 49630744+ (118) , (72) 26862905- (905)	11, 11, 72	118, 118, 905	3906318, 5643127,3906318, 49630744,26862905	12	738	846	Different	Different	Different
58	gb|AY920928|+|2689-3553|ARO:3002338|GES-9	(93) 32422725-, 5613425+ (32) , (93) 32422725-, 32146774- (32)	93, 93	32, 32	32422725, 5613425,32422725, 32146774	94	901	864	Different	Different	Different
59	gb|BX664015.1|-|103017-103833|ARO:3002641|APH(3')-Ia	(121) 27227585- (934)	121	934	27227585	122	879	816	Different	Different	Different
